configuration,0,1,2,3
"j₁=1/2, j₂=1, j₃=3/2, j₄=2",0.10245987454331973,0.009371062360399982,0.008274710129885688,
"j₁=j₂=1, j₃=1/2, j₄=3/2",0.24348911475041657,0.03484296679783241,,
j₁=j₂=j₃=j₄=1,0.35915517195671226,0.14524348961739791,0.030211944612561978,
j₁=j₂=j₃=j₄=1/2,0.5629369145925675,0.12820048175546683,,
j₁=j₂=j₃=j₄=3/2,0.26342853496130403,0.14496538530198103,0.014783914091021014,0.003767802982702559
